id,urlDrugName,rating,effectiveness,sideEffects,condition,sentiment_rating,mdl_sentiment_lbl,mdl_lbl_score
1366,biaxin,9,Considerably Effective,Mild Side Effects,sinus infection,positive,NEGATIVE,0.9949334263801575
3724,lamictal,9,Highly Effective,Mild Side Effects,bipolar disorder,positive,NEGATIVE,0.7467579245567322
3824,depakene,4,Moderately Effective,Severe Side Effects,bipolar disorder,neutral,NEGATIVE,0.9925140738487244
969,sarafem,10,Highly Effective,No Side Effects,bi-polar / anxiety,positive,POSITIVE,0.9890430569648743
696,accutane,10,Highly Effective,Mild Side Effects,nodular acne,positive,NEGATIVE,0.9444751143455505
1380,biaxin,2,Marginally Effective,No Side Effects,sinus infection,negative,POSITIVE,0.9872998595237732
45,carbamazepine,8,Considerably Effective,Moderate Side Effects,seizure,positive,NEGATIVE,0.997490644454956
1939,ultram-er,10,Highly Effective,Mild Side Effects,cervical disk degeneration and lower back pain,positive,POSITIVE,0.5827150344848633
2576,klonopin,10,Highly Effective,No Side Effects,panic disorder,positive,NEGATIVE,0.9801182746887207
1093,effexor,1,Marginally Effective,Extremely Severe Side Effects,depression,negative,NEGATIVE,0.9884694218635559
1962,lyrica,3,Moderately Effective,Moderate Side Effects,fibromyalgia,negative,NEGATIVE,0.9629229307174683
142,valtrex,9,Highly Effective,Mild Side Effects,cold sores,positive,NEGATIVE,0.9901403784751892
1269,provigil,6,Moderately Effective,No Side Effects,chronic fatigue,neutral,POSITIVE,0.6024386882781982
3499,maxalt,10,Highly Effective,Mild Side Effects,migraine,positive,NEGATIVE,0.8043727278709412
1598,xanax,5,Moderately Effective,Mild Side Effects,anxiety,neutral,NEGATIVE,0.9964042901992798
4095,chantix,5,Moderately Effective,Moderate Side Effects,stop smoking,neutral,NEGATIVE,0.9885397553443909
3707,ranitidine,7,Moderately Effective,No Side Effects,heartburn,neutral,NEGATIVE,0.9923509955406189
3168,prednisone,7,Considerably Effective,Moderate Side Effects,rheumatoid arthritis,neutral,NEGATIVE,0.9875633716583252
1866,augmentin,8,Highly Effective,Severe Side Effects,diverticulitis,positive,NEGATIVE,0.9951058626174927
2150,zyrtec,10,Highly Effective,No Side Effects,seasonal allergies,positive,NEGATIVE,0.9342271685600281
1544,methotrexate,3,Considerably Effective,Severe Side Effects,psoraitic arthritis,negative,NEGATIVE,0.9916543960571289
3985,fosamax,9,Considerably Effective,No Side Effects,bone loss,positive,NEGATIVE,0.9888442158699036
